radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,255,3,34000,28052,0,31.649551391602,48.811569213867,1000,1,1,1459781580,1459781580,0
GSM,255,3,34000,4032,0,31.633471,48.636275,3083,31,1,1459815400,1485426727,0
GSM,255,3,34002,4562,0,31.975025,48.514253,3179,4,1,1459815401,1474549561,0
GSM,255,3,49500,18791,0,33.475532,49.107273,1257,15,1,1459684849,1505383353,0
GSM,255,1,9520,45661,0,29.233932495117,48.692092895508,1000,1,1,1459676549,1459676549,0
GSM,255,1,10040,24114,0,36.237442,49.996078,1000,15,1,1459752359,1459752359,0
GSM,255,3,37050,2293,0,29.50309753418,47.980728149414,1000,1,1,1459742445,1459742445,0
GSM,255,6,20510,1583,0,37.937850952148,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,1827,0,37.933731079102,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,543,0,37.911758422852,47.988967895508,1000,1,1,1459743688,1459743688,0
GSM,255,1,51806,11545,0,25.760879516602,50.364761352539,1000,1,1,1459776696,1459776696,0
GSM,255,3,49500,8842,0,33.463211,49.108963,1010,9,1,1459684849,1486220257,0
GSM,255,1,12625,5678,0,34.53417,49.557058,1000,33,1,1459746355,1459746355,0
GSM,255,1,12625,5737,0,34.525419,49.560405,1000,14,1,1459746355,1459746355,0
GSM,255,1,10045,22304,0,36.244148,49.999947,1000,60,1,1459752961,1459752961,0
GSM,255,3,20204,961,0,26.986713,50.227776,1000,16,1,1459814312,1490804267,0
GSM,255,3,34000,8601,0,31.649551391602,48.811569213867,1000,1,1,1459781580,1459781580,0
GSM,255,1,12605,6251,0,34.548971,49.58356,1000,41,1,1459755064,1485942246,0
GSM,255,1,12605,5092,0,34.552564,49.581985,1000,11,1,1459755064,1485942387,0
GSM,255,1,12625,5148,0,34.553188,49.583983,1000,11,1,1459745759,1459745759,0
GSM,255,1,12625,5149,0,34.550491,49.584732,1000,15,1,1459745759,1459745759,0
GSM,255,1,12625,6357,0,34.53958,49.577241,1000,33,1,1459746057,1459746057,0
GSM,255,1,12625,6257,0,34.548165,49.583278,1000,17,1,1459745759,1459745759,0
GSM,255,1,12625,5117,0,34.545479,49.581127,1000,8,1,1459745760,1459745760,0
GSM,255,1,10040,24396,0,36.236343383789,49.995346069336,1000,2,1,1459752358,1459752358,0
GSM,255,1,10040,24344,0,36.233596801758,49.992599487305,1000,5,1,1459752358,1459752358,0
GSM,255,3,37050,26321,0,29.61296081543,47.936782836914,1000,1,1,1459742456,1459742456,0
GSM,255,6,20510,1572,0,37.932357788086,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,3,34000,9263,0,31.627169,48.642423,3557,77,1,1459815400,1485426727,0
GSM,255,3,34002,4563,0,31.959916,48.524552,1000,2,1,1459815401,1472214420,0
GSM,255,3,49500,8841,0,33.482987,49.109635,5113,45,1,1459684849,1486220257,0
GSM,255,1,9520,45664,0,29.233932495117,48.692092895508,1000,1,1,1459676549,1459676549,0
GSM,255,1,13580,33057,0,33.746566772461,49.671249389648,1000,1,1,1459732850,1459732850,0
GSM,255,1,12605,5683,0,34.530167,49.566055,1000,5,1,1459734956,1459734956,0
GSM,255,1,12605,5151,0,34.553277,49.582476,1000,28,1,1459755064,1485942387,0
GSM,255,1,12625,6018,0,34.526758,49.562598,1000,17,1,1459746354,1459746354,0
GSM,255,1,12625,5689,0,34.529342651367,49.565505981445,1000,3,1,1459746058,1459746058,0
GSM,255,1,17752,38323,0,35.495059,49.796949,24414,165,1,1459768867,1489380600,0
GSM,255,1,10085,26088,0,36.13497,49.96376,1000,33,1,1459751773,1459751773,0
GSM,255,1,10085,24929,0,36.155425,49.970944,1000,13,1,1459751774,1459751774,0
GSM,255,1,10085,26087,0,36.145191,49.966221,1000,48,1,1459751774,1459751774,0
GSM,255,1,10085,24807,0,36.126327,49.96315,1000,9,1,1459751773,1459751773,0
GSM,255,3,37050,1023,0,29.541549682617,47.953262329102,1000,1,1,1459742445,1459742445,0
GSM,255,3,37050,27011,0,28.919448852539,48.042526245117,1000,1,1,1459742445,1459742445,0
GSM,255,1,51481,17585,0,23.998673,49.843826,1480,15,1,1459807724,1490774049,0
GSM,255,1,51806,50062,0,25.737533569336,50.382614135742,1000,1,1,1459776707,1459776707,0
GSM,255,1,13500,33721,0,33.560105,49.672369,1389,27,1,1459752354,1460900155,0
GSM,255,1,12605,6252,0,34.547407,49.582355,1000,26,1,1459755064,1485942246,0
GSM,255,1,12605,5091,0,34.550884,49.582417,1000,35,1,1459755064,1485942387,0
GSM,255,1,12625,6258,0,34.546921,49.581985,1000,5,1,1459745760,1459745760,0
GSM,255,1,17052,31905,0,36.178207,49.981417,1000,21,1,1459771574,1484788808,0
GSM,255,1,10040,24115,0,36.235313,49.994316,1000,12,1,1459752358,1459752358,0
GSM,255,1,10040,22304,0,36.240267,49.997308,1000,7,1,1459752961,1459752961,0
GSM,255,6,20510,1312,0,37.913131713867,47.990341186523,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,1821,0,37.932357788086,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,1647,0,37.932357788086,47.947769165039,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,153,0,37.937850952148,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,1442,0,37.932357788086,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,621,0,37.914505004883,47.986221313477,1000,1,1,1459743688,1459743688,0
GSM,255,6,20510,3285,0,37.939224243164,47.946395874023,1000,1,1,1459743688,1459743688,0
GSM,255,1,52012,20513,0,25.468368530273,50.01594543457,1000,1,1,1459776696,1459776696,0
GSM,255,3,34000,6031,0,31.643372,48.614502,1000,2,1,1459815400,1469694079,0
GSM,255,3,29200,9121,0,31.31271,51.509895,4435,136,1,1330161568,1351291092,0
GSM,255,3,29200,52,0,31.316516,51.510819,17519,193,1,1330162260,1351055865,0
GSM,255,3,29200,21,0,31.310599,51.505074,12147,146,1,1330162260,1351291392,0
GSM,255,3,29200,1012,0,31.31398,51.51243,3071,194,1,1330162260,1351218917,0
GSM,255,3,29200,9081,0,31.317167,51.511316,3374,86,1,1330162260,1351214972,0
GSM,255,3,29200,9111,0,31.312324,51.512665,3251,130,1,1330162260,1351214973,0
GSM,255,3,29200,8052,0,31.316819,51.511085,3669,66,1,1330162260,1351214972,0
GSM,255,3,29200,28021,0,31.287142,51.49239,4071,9,1,1330162260,1351291557,0
GSM,255,3,29200,92,0,31.317314,51.51289,3445,97,1,1330163645,1351218917,0
GSM,255,3,29200,9082,0,31.313725,51.512271,3562,122,1,1330163645,1351290823,0
GSM,255,3,29200,9123,0,31.29014,51.498855,2678,28,1,1330163645,1351215272,0
GSM,255,3,29200,8063,0,31.311838,51.510087,2935,47,1,1330703326,1351218317,0
